Date,Price
4/25/2018,2639.40
4/26/2018,2666.90
4/27/2018,2669.90
4/30/2018,2648.00
5/1/2018,2654.80
5/2/2018,2635.70
5/3/2018,2629.70
5/4/2018,2663.40
5/7/2018,2672.60
5/8/2018,2671.90
5/9/2018,2697.80
5/10/2018,2723.10
5/11/2018,2727.70
5/14/2018,2730.10
5/15/2018,2711.40
5/16/2018,2722.50
5/17/2018,2720.10
5/18/2018,2713.00
5/21/2018,2733.00
5/22/2018,2724.40
5/23/2018,2733.30
5/24/2018,2727.80
5/25/2018,2721.30
5/29/2018,2689.90
5/30/2018,2724.00
5/31/2018,2705.30
6/1/2018,2734.60
6/4/2018,2746.90
6/5/2018,2748.80
6/6/2018,2772.30
6/7/2018,2770.40
6/8/2018,2779.00
6/11/2018,2782.00
6/12/2018,2786.90
6/13/2018,2775.60
6/14/2018,2782.50
6/15/2018,2779.70
6/18/2018,2773.70
6/19/2018,2762.60
6/20/2018,2767.30
6/21/2018,2749.80
6/22/2018,2754.90
6/25/2018,2717.10
6/26/2018,2723.10
6/27/2018,2699.60
6/28/2018,2716.30
6/29/2018,2718.40
7/2/2018,2726.70
7/3/2018,2713.20
7/5/2018,2736.60
7/6/2018,2759.80
7/9/2018,2784.20
7/10/2018,2793.80
7/11/2018,2774.00
7/12/2018,2798.30
7/13/2018,2801.30
7/16/2018,2798.40
7/17/2018,2809.60
7/18/2018,2815.60
7/19/2018,2804.50
7/20/2018,2801.80
7/23/2018,2807.00
7/24/2018,2820.40
7/25/2018,2846.10
7/26/2018,2837.40
7/27/2018,2818.80
7/30/2018,2802.60
7/31/2018,2816.30
8/1/2018,2813.40
8/2/2018,2827.20
8/3/2018,2840.40
8/6/2018,2850.40
8/7/2018,2858.50
8/8/2018,2857.70
8/9/2018,2853.60
8/10/2018,2833.30
8/13/2018,2821.90
8/14/2018,2840.00
