Company,Sector,MktCap2013,Debt,MktCap2018,Changevs2015,Change,Stake,Latitude,Longitude
Intuit Inc.,Information Technology,21743.8, ,54605.6,151%,Up,57,37.429802,-122.096322
"Intuitive Surgical, Inc.",Health Care,14619.6, ,57358.4,292%,Up,18,37.37294,-122.003968
Invesco Ltd.,Financials,16135.4, ,9030.5,-44%,Down,460,33.797882,-84.388328
IPG Photonics Corporation,Information Technology,4010.9, ,7110.4,77%,Up,150,42.081087,-71.881151
IQVIA Holdings Inc.,Health Care,5974.6, ,25706.3,330%,Up,14,35.88085,-78.840506
Iron Mountain Incorporated,Real Estate,5803.5, ,9208.2,59%,Up,184,42.355492,-71.048611
"J.B. Hunt Transport Services, Inc.",Industrials,9110.3, ,12187.3,34%,Up,254,36.244112,-94.1504
Jacobs Engineering Group Inc.,Industrials,8299.7, ,10256.8,24%,Up,285,32.784834,-96.797218
Jefferies Financial Group Inc.,Financials,10331, ,7146.6,-31%,Down,442,40.760106,-73.974767
Johnson & Johnson,Health Care,258415.5, ,373037.2,44%,Up,222,40.497941,-74.442944
Johnson Controls International plc,Industrials,34738.1, ,30457.7,-12%,Down,393,53.078731,-7.798618
JPMorgan Chase & Co.,Financials,219587.6, ,362622,65%,Up,170,40.755913,-73.975731
"Juniper Networks, Inc.",Information Technology,11397.9, ,9795.6,-14%,Down,398,37.40766,-122.029301
Kansas City Southern,Industrials,13647.2, ,10792.1,-21%,Down,418,39.099697,-94.589668
Kellogg Company,Consumer Staples,22119.4, ,24672.7,12%,Up,315,42.279225,-85.231742
KeyCorp,Financials,12033.3, ,18451.7,53%,Up,199,41.501134,-81.693861
Kimberly-Clark Corporation,Consumer Staples,39866, ,38323.1,-4%,Down,367,27.778996,-97.428131
Kimco Realty Corporation,Real Estate,8091.4, ,6375.5,-21%,Down,419,40.732085,-73.67949
"Kinder Morgan, Inc.",Energy,37290.6, ,39678.8,6%,Up,331,29.757841,-95.367357
KLA-Tencor Corporation,Information Technology,10742.2, ,14060.6,31%,Up,260,37.430674,-121.899508
Kohls Corporation,Consumer Discretionary,12152.4, ,11880,-2%,Down,358,43.121734,-88.123176
"L Brands, Inc.",Consumer Discretionary,17953.9, ,8152.9,-55%,Down,474,39.98072,-82.985586
Laboratory Corporation of America Holdings,Health Care,7985.7, ,17587.9,120%,Up,76,36.093178,-79.437393
Lam Research Corporation,Information Technology,8842.2, ,22271.4,152%,Up,54,37.48867,-121.957194
"Leggett & Platt, Incorporated",Consumer Discretionary,4369.1, ,4982.5,14%,Up,312,37.167921,-94.308992
Lennar Corporation,Consumer Discretionary,7508.2, ,13230.8,76%,Up,153,25.766368,-80.210268
Lincoln National Corporation,Financials,13542.4, ,13867.6,2%,Up,347,40.041121,-75.363122
LKQ Corporation,Consumer Discretionary,9890.4, ,8829.9,-11%,Down,387,41.88239,-87.640472
Lockheed Martin Corporation,Industrials,47349.3, ,93448.1,97%,Up,117,38.989441,-77.118791
Loews Corporation,Financials,18676.7, ,14851.2,-20%,Down,416,40.764443,-73.970311
"Lowes Companies, Inc.",Consumer Discretionary,51820.8, ,80767.5,56%,Up,194,35.582987,-80.810815
LyondellBasell Industries N.V.,Materials,44392.6, ,36436.8,-18%,Down,413,51.509648,-0.099076
M&T Bank Corporation,Financials,15161.3, ,23384.7,54%,Up,197,42.883801,-78.874194
Macerich Company,Real Estate,8276.4, ,7269.8,-12%,Down,391,34.019875,-118.498666
"Macys, Inc.",Consumer Discretionary,19676.9, ,9927.5,-50%,Down,467,39.102978,-84.534089
Marathon Oil Corporation,Energy,24591.2, ,17655.2,-28%,Down,436,29.749363,-95.471878
Marathon Petroleum Corporation,Energy,27613.2, ,51065.2,85%,Up,133,41.035938,-83.650092
"Marriott International, Inc.",Consumer Discretionary,14815.3, ,38876.6,162%,Up,45,39.000621,-77.13448
"Marsh & McLennan Companies, Inc.",Financials,26538.8, ,40630.7,53%,Up,200,40.75679,-73.982417
"Martin Marietta Materials, Inc.",Materials,4622.1, ,10187.1,120%,Up,74,35.819574,-78.689959
Masco Corporation,Industrials,8128.6, ,9507.2,17%,Up,300,42.414821,-83.431873
Mastercard Incorporated,Information Technology,100255.2, ,210868.2,110%,Up,93,41.023601,-73.713928
"Mattel, Inc.",Consumer Discretionary,16102.7,LOSER,4893.9,-70%,Down,483,33.920393,-118.391868
"McCormick & Company, Incorporated",Consumer Staples,9099, ,18516.6,104%,Up,103,39.492389,-76.65391
McDonalds Corporation,Consumer Discretionary,96547.8, ,129938.8,35%,Up,250,41.883724,-87.653931
McKesson Corporation,Health Care,37075.4, ,26447.7,-29%,Down,437,37.778008,-122.431272
Medtronic plc,Health Care,57295.3, ,126867,121%,Up,72,53.078731,-7.798618
"Merck & Co., Inc.",Health Care,146242.5, ,192416.7,32%,Up,258,40.679655,-74.27412
"MetLife, Inc.",Financials,60447.4, ,43613.7,-28%,Down,433,40.754139,-73.976801
Mettler-Toledo International Inc.,Health Care,7201.6, ,14077.9,95%,Up,121,40.143931,-82.969107
MGM Resorts International,Consumer Discretionary,11526.4, ,14335.1,24%,Up,283,36.190364,-115.279104
Michael Kors Holdings Limited,Consumer Discretionary,16480.1, ,8660.7,-47%,Down,466,51.397674,-0.232092
