date,price
1-Feb-2016,1939.4
2-Feb-2016,1903
3-Feb-2016,1912.5
4-Feb-2016,1915.4
5-Feb-2016,1880.1
8-Feb-2016,1853.4
9-Feb-2016,1852.2
10-Feb-2016,1851.9
11-Feb-2016,1829.1
12-Feb-2016,1864.8
16-Feb-2016,1895.6
17-Feb-2016,1926.8
18-Feb-2016,1917.8
19-Feb-2016,1917.8
22-Feb-2016,1945.5
23-Feb-2016,1921.3
24-Feb-2016,1929.8
25-Feb-2016,1951.7
26-Feb-2016,1948.1
29-Feb-2016,1932.2
1-Mar-2016,1978.3
2-Mar-2016,1986.5
3-Mar-2016,1993.4
4-Mar-2016,2000
7-Mar-2016,2001.8
8-Mar-2016,1979.3
9-Mar-2016,1989.3
10-Mar-2016,1989.6
11-Mar-2016,2022.2
14-Mar-2016,2019.6
15-Mar-2016,2015.9
16-Mar-2016,2027.2
17-Mar-2016,2040.6
18-Mar-2016,2049.6
21-Mar-2016,2051.6
22-Mar-2016,2049.8
23-Mar-2016,2036.7
24-Mar-2016,2035.9
28-Mar-2016,2037
29-Mar-2016,2055
30-Mar-2016,2063.9
31-Mar-2016,2059.7
1-Apr-2016,2072.8
4-Apr-2016,2066.1
5-Apr-2016,2045.2
6-Apr-2016,2066.7
7-Apr-2016,2041.9
8-Apr-2016,2047.6
11-Apr-2016,2042
12-Apr-2016,2061.7
13-Apr-2016,2082.4
14-Apr-2016,2082.8
15-Apr-2016,2080.7
18-Apr-2016,2094.3
19-Apr-2016,2100.8
20-Apr-2016,2102.4
21-Apr-2016,2091.5
22-Apr-2016,2091.6
25-Apr-2016,2087.8
26-Apr-2016,2091.7
27-Apr-2016,2095.2
28-Apr-2016,2075.8
29-Apr-2016,2065.3
2-May-2016,2081.4
3-May-2016,2063.4
4-May-2016,2051.1
5-May-2016,2050.6
6-May-2016,2057.1
9-May-2016,2058.7
10-May-2016,2084.4
11-May-2016,2064.5
12-May-2016,2064.1
13-May-2016,2046.6
16-May-2016,2066.7
17-May-2016,2047.2
18-May-2016,2047.6
19-May-2016,2040
20-May-2016,2052.3
23-May-2016,2048
24-May-2016,2076.1
25-May-2016,2090.5
26-May-2016,2090.1
27-May-2016,2099.1
31-May-2016,2097
1-Jun-2016,2099.3
2-Jun-2016,2105.3
3-Jun-2016,2099.1
6-Jun-2016,2109.4
7-Jun-2016,2112.1
8-Jun-2016,2119.1
9-Jun-2016,2115.5
10-Jun-2016,2096.1
13-Jun-2016,2079.1
14-Jun-2016,2075.3
15-Jun-2016,2071.5
16-Jun-2016,2078
17-Jun-2016,2071.2
20-Jun-2016,2083.2
21-Jun-2016,2088.9
22-Jun-2016,2085.4
23-Jun-2016,2113.3
24-Jun-2016,2037.4
27-Jun-2016,2000.5
28-Jun-2016,2036.1
29-Jun-2016,2070.8
30-Jun-2016,2098.9
1-Jul-2016,2103
5-Jul-2016,2088.5
6-Jul-2016,2099.7
7-Jul-2016,2097.9
8-Jul-2016,2129.9
11-Jul-2016,2137.2
12-Jul-2016,2152.1
13-Jul-2016,2152.4
14-Jul-2016,2163.7
15-Jul-2016,2161.7
18-Jul-2016,2166.9
19-Jul-2016,2163.8
20-Jul-2016,2173
21-Jul-2016,2165.2
22-Jul-2016,2175
25-Jul-2016,2168.5
26-Jul-2016,2169.2
27-Jul-2016,2166.6
28-Jul-2016,2170.1
29-Jul-2016,2173.6
1-Aug-2016,2170.8
2-Aug-2016,2157
3-Aug-2016,2163.8
4-Aug-2016,2164.3
5-Aug-2016,2182.9
8-Aug-2016,2180.9
9-Aug-2016,2181.7
10-Aug-2016,2175.5
11-Aug-2016,2185.8
12-Aug-2016,2184.1
15-Aug-2016,2190.1
16-Aug-2016,2178.1
17-Aug-2016,2182.2
18-Aug-2016,2187
19-Aug-2016,2183.9
